Unnamed: 0,NAME,PAGE,IMG_URL,LOGP,PKA,MW,FORM,SOL,DESC
23,Succinic acid,https://www.drugbank.ca/drugs/DB00139,https://www.drugbank.ca/structures/DB00139thumb.svg,0.1463514,0.86383575,118.088,C4H6O4,74.599998,N/A
24,Riboflavin,https://www.drugbank.ca/drugs/DB00140,https://www.drugbank.ca/structures/DB00140thumb.svg,0.45373443,0.64683259,376.36389,C17H20N4O6,155.05,N/A
25,N-Acetylglucosamine,https://www.drugbank.ca/drugs/DB00141,https://www.drugbank.ca/structures/DB00141thumb.svg,0.48935387,0.90091908,221.20779,C8H15NO6,127.09,N/A
26,Glutamic acid,https://www.drugbank.ca/drugs/DB00142,https://www.drugbank.ca/structures/DB00142thumb.svg,0.38073814,0.86646438,147.1293,C5H9NO4,100.62,N/A
27,Glutathione,https://www.drugbank.ca/drugs/DB00143,https://www.drugbank.ca/structures/DB00143thumb.svg,0.14383642,0.97794789,307.323,C10H17N3O6S,158.82001,N/A
28,Phosphatidyl serine,https://www.drugbank.ca/drugs/DB00144,https://www.drugbank.ca/structures/DB00144thumb.svg,0.37450546,0.74367797,385.30411,C13H24NO10P,171.67999,N/A
29,Glycine,https://www.drugbank.ca/drugs/DB00145,https://www.drugbank.ca/structures/DB00145thumb.svg,0.29250118,0.74281722,75.066597,C2H5NO2,63.32,N/A
30,Calcifediol,https://www.drugbank.ca/drugs/DB00146,https://www.drugbank.ca/structures/DB00146thumb.svg,0.14612693,0.94529879,400.63708,C27H44O2,40.459999,N/A
31,Pyridoxal,https://www.drugbank.ca/drugs/DB00147,https://www.drugbank.ca/structures/DB00147thumb.svg,0.42001501,0.63498706,167.162,C8H9NO3,70.419998,N/A
32,Creatine,https://www.drugbank.ca/drugs/DB00148,https://www.drugbank.ca/structures/DB00148thumb.svg,0.35567051,0.7906847,131.13319,C4H9N3O2,90.410004,N/A
33,Leucine,https://www.drugbank.ca/drugs/DB00149,https://www.drugbank.ca/structures/DB00149thumb.svg,0.54051626,0.82154256,131.1729,C6H13NO2,63.32,N/A
34,Tryptophan,https://www.drugbank.ca/drugs/DB00150,https://www.drugbank.ca/structures/DB00150thumb.svg,0.34150487,0.81553483,204.2252,C11H12N2O2,79.110001,N/A
35,Cysteine,https://www.drugbank.ca/drugs/DB00151,https://www.drugbank.ca/structures/DB00151thumb.svg,0.43580037,0.79653931,121.158,C3H7NO2S,63.32,N/A
36,Thiamine,https://www.drugbank.ca/drugs/DB00152,https://www.drugbank.ca/structures/DB00152thumb.svg,0.15965512,0.97071403,265.35501,C12H17N4OS,75.910004,N/A
37,Ergocalciferol,https://www.drugbank.ca/drugs/DB00153,https://www.drugbank.ca/structures/DB00153thumb.svg,0.11815654,0.91496277,396.64841,C28H44O,20.23,N/A
38,Dihomo-gamma-linolenic acid,https://www.drugbank.ca/drugs/DB00154,https://www.drugbank.ca/structures/DB00154thumb.svg,0.43213588,0.90122181,306.48279,C20H34O2,37.299999,N/A
39,Citrulline,https://www.drugbank.ca/drugs/DB00155,https://www.drugbank.ca/structures/DB00155thumb.svg,0.23655212,0.88810158,175.1857,C6H13N3O3,118.44,N/A
40,Threonine,https://www.drugbank.ca/drugs/DB00156,https://www.drugbank.ca/structures/DB00156thumb.svg,0.3912355,0.80481261,119.1192,C4H9NO3,83.550003,N/A
41,NADH,https://www.drugbank.ca/drugs/DB00157,https://www.drugbank.ca/structures/DB00157thumb.svg,0.56262302,0.94347203,665.44098,C21H29N7O14P2,317.62,N/A
42,Folic acid,https://www.drugbank.ca/drugs/DB00158,https://www.drugbank.ca/structures/DB00158thumb.svg,0.09046533,0.96744835,441.39749,C19H19N7O6,208.99001,N/A
43,Icosapent,https://www.drugbank.ca/drugs/DB00159,https://www.drugbank.ca/structures/DB00159thumb.svg,0.63474113,0.84923822,302.45099,C20H30O2,37.299999,N/A
44,Alanine,https://www.drugbank.ca/drugs/DB00160,https://www.drugbank.ca/structures/DB00160thumb.svg,0.43389729,0.69103366,89.093201,C3H7NO2,63.32,N/A
45,Valine,https://www.drugbank.ca/drugs/DB00161,https://www.drugbank.ca/structures/DB00161thumb.svg,0.41652825,0.80071115,117.1463,C5H11NO2,63.32,N/A
46,Vitamin A,https://www.drugbank.ca/drugs/DB00162,https://www.drugbank.ca/structures/DB00162thumb.svg,0.098982193,0.95601135,286.4516,C20H30O,20.23,N/A
47,Vitamin E,https://www.drugbank.ca/drugs/DB00163,https://www.drugbank.ca/structures/DB00163thumb.svg,0.46251068,0.80171037,430.70609,C29H50O2,29.459999,N/A
48,Pyridoxine,https://www.drugbank.ca/drugs/DB00165,https://www.drugbank.ca/structures/DB00165thumb.svg,0.42150918,0.67731053,169.1778,C8H11NO3,73.580002,N/A
49,Lipoic acid,https://www.drugbank.ca/drugs/DB00166,https://www.drugbank.ca/structures/DB00166thumb.svg,0.075501062,0.95255536,206.326,C8H14O2S2,37.299999,N/A
50,Isoleucine,https://www.drugbank.ca/drugs/DB00167,https://www.drugbank.ca/structures/DB00167thumb.svg,0.43384993,0.88761097,131.1729,C6H13NO2,63.32,N/A
51,Aspartame,https://www.drugbank.ca/drugs/DB00168,https://www.drugbank.ca/structures/DB00168thumb.svg,0.32767263,0.85648006,294.3031,C14H18N2O5,118.72,N/A
52,Cholecalciferol,https://www.drugbank.ca/drugs/DB00169,https://www.drugbank.ca/structures/DB00169thumb.svg,0.14871627,0.96207994,384.6377,C27H44O,20.23,N/A
53,Menadione,https://www.drugbank.ca/drugs/DB00170,https://www.drugbank.ca/structures/DB00170thumb.svg,0.37495625,0.62810475,172.17999,C11H8O2,34.139999,N/A
54,ATP,https://www.drugbank.ca/drugs/DB00171,https://www.drugbank.ca/structures/DB00171thumb.svg,0.5525763,0.7993443,507.181,C10H16N5O13P3,279.13,N/A
55,Proline,https://www.drugbank.ca/drugs/DB00172,https://www.drugbank.ca/structures/DB00172thumb.svg,0.37128818,0.80839765,115.1305,C5H9NO2,49.330002,N/A
56,Adenine,https://www.drugbank.ca/drugs/DB00173,https://www.drugbank.ca/structures/DB00173thumb.svg,0.40124422,0.59875578,135.12669,C5H5N5,80.480003,N/A
57,Asparagine,https://www.drugbank.ca/drugs/DB00174,https://www.drugbank.ca/structures/DB00174thumb.svg,0.45451427,0.85918403,132.1179,C4H8N2O3,106.41,N/A
58,Pravastatin,https://www.drugbank.ca/drugs/DB00175,https://www.drugbank.ca/structures/DB00175thumb.svg,0.32088238,0.83722365,424.52771,C23H36O7,124.29,N/A
59,Fluvoxamine,https://www.drugbank.ca/drugs/DB00176,https://www.drugbank.ca/structures/DB00176thumb.svg,0.31454247,0.71813041,318.34,C15H21F3N2O2,56.84,N/A
60,Valsartan,https://www.drugbank.ca/drugs/DB00177,https://www.drugbank.ca/structures/DB00177thumb.svg,0.30058166,0.83216161,435.5188,C24H29N5O3,112.07,N/A
61,Ramipril,https://www.drugbank.ca/drugs/DB00178,https://www.drugbank.ca/structures/DB00178thumb.svg,0.35252404,0.75225073,416.51059,C23H32N2O5,95.940002,N/A
62,Masoprocol,https://www.drugbank.ca/drugs/DB00179,https://www.drugbank.ca/structures/DB00179thumb.svg,0.096449152,0.96466911,302.3649,C18H22O4,80.919998,N/A
63,Flunisolide,https://www.drugbank.ca/drugs/DB00180,https://www.drugbank.ca/structures/DB00180thumb.svg,0.28059515,0.91442227,434.49771,C24H31FO6,93.059998,N/A
64,Baclofen,https://www.drugbank.ca/drugs/DB00181,https://www.drugbank.ca/structures/DB00181thumb.svg,0.30398422,0.82427949,213.661,C10H12ClNO2,63.32,N/A
65,Amphetamine,https://www.drugbank.ca/drugs/DB00182,https://www.drugbank.ca/structures/DB00182thumb.svg,0.21570545,0.89345098,135.20621,C9H13N,26.02,N/A
66,Nicotine,https://www.drugbank.ca/drugs/DB00184,https://www.drugbank.ca/structures/DB00184thumb.svg,0.28349584,0.93846172,162.2316,C10H14N2,16.129999,N/A
67,Cevimeline,https://www.drugbank.ca/drugs/DB00185,https://www.drugbank.ca/structures/DB00185thumb.svg,0.33604771,0.90352392,199.313,C10H17NOS,12.47,N/A
68,Lorazepam,https://www.drugbank.ca/drugs/DB00186,https://www.drugbank.ca/structures/DB00186thumb.svg,0.61136788,0.65122849,321.15799,C15H10Cl2N2O2,61.689999,N/A
69,Esmolol,https://www.drugbank.ca/drugs/DB00187,https://www.drugbank.ca/structures/DB00187thumb.svg,0.20499605,0.86102235,295.37399,C16H25NO4,67.790001,N/A
70,Ethchlorvynol,https://www.drugbank.ca/drugs/DB00189,https://www.drugbank.ca/structures/DB00189thumb.svg,0.35395911,0.80729431,144.60001,C7H9ClO,20.23,N/A
71,Carbidopa,https://www.drugbank.ca/drugs/DB00190,https://www.drugbank.ca/structures/DB00190thumb.svg,0.23568904,0.90147281,226.2292,C10H14N2O4,115.81,N/A
72,Phentermine,https://www.drugbank.ca/drugs/DB00191,https://www.drugbank.ca/structures/DB00191thumb.svg,0.25024712,0.90652233,149.2328,C10H15N,26.02,N/A
73,Indecainide,https://www.drugbank.ca/drugs/DB00192,https://www.drugbank.ca/structures/DB00192thumb.svg,0.47078237,0.93883508,308.41739,C20H24N2O,55.119999,N/A
74,Tramadol,https://www.drugbank.ca/drugs/DB00193,https://www.drugbank.ca/structures/DB00193thumb.svg,0.44803101,0.83421707,263.37521,C16H25NO2,32.700001,N/A
75,Vidarabine,https://www.drugbank.ca/drugs/DB00194,https://www.drugbank.ca/structures/DB00194thumb.svg,0.29163048,0.8200708,267.2413,C10H13N5O4,139.53999,N/A
76,Betaxolol,https://www.drugbank.ca/drugs/DB00195,https://www.drugbank.ca/structures/DB00195thumb.svg,0.37949988,0.7996574,307.4278,C18H29NO3,50.720001,N/A
77,Fluconazole,https://www.drugbank.ca/drugs/DB00196,https://www.drugbank.ca/structures/DB00196thumb.svg,0.48266536,0.72251326,306.27081,C13H12F2N6O,81.650002,N/A
78,Troglitazone,https://www.drugbank.ca/drugs/DB00197,https://www.drugbank.ca/structures/DB00197thumb.svg,0.23929282,0.85975379,441.54001,C24H27NO5S,84.860001,N/A
79,Oseltamivir,https://www.drugbank.ca/drugs/DB00198,https://www.drugbank.ca/structures/DB00198thumb.svg,0.34348312,0.76103616,312.40451,C16H28N2O4,90.650002,N/A
80,Caffeine,https://www.drugbank.ca/drugs/DB00201,https://www.drugbank.ca/structures/DB00201thumb.svg,0.40443519,0.60368174,194.1906,C8H10N4O2,58.439999,N/A
81,Succinylcholine,https://www.drugbank.ca/drugs/DB00202,https://www.drugbank.ca/structures/DB00202thumb.svg,0.042883132,0.98705745,290.39899,C14H30N2O4,52.599998,N/A
82,Sildenafil,https://www.drugbank.ca/drugs/DB00203,https://www.drugbank.ca/structures/DB00203thumb.svg,0.27902612,0.87144965,474.57599,C22H30N6O4S,109.13,N/A
83,Dofetilide,https://www.drugbank.ca/drugs/DB00204,https://www.drugbank.ca/structures/DB00204thumb.svg,0.32753643,0.79096085,441.565,C19H27N3O5S2,104.81,N/A
84,Pyrimethamine,https://www.drugbank.ca/drugs/DB00205,https://www.drugbank.ca/structures/DB00205thumb.svg,0.19929488,0.88407528,248.711,C12H13ClN4,77.82,N/A
85,Reserpine,https://www.drugbank.ca/drugs/DB00206,https://www.drugbank.ca/structures/DB00206thumb.svg,0.14416046,0.94422877,608.67871,C33H40N2O9,117.78,N/A
86,Ticlopidine,https://www.drugbank.ca/drugs/DB00208,https://www.drugbank.ca/structures/DB00208thumb.svg,0.24427292,0.88336927,263.78601,C14H14ClNS,3.24,N/A
87,Adapalene,https://www.drugbank.ca/drugs/DB00210,https://www.drugbank.ca/structures/DB00210thumb.svg,0.171046,0.87044871,412.52011,C28H28O3,46.529999,N/A
88,Midodrine,https://www.drugbank.ca/drugs/DB00211,https://www.drugbank.ca/structures/DB00211thumb.svg,0.26939505,0.80969113,254.2823,C12H18N2O4,93.809998,N/A
89,Pantoprazole,https://www.drugbank.ca/drugs/DB00213,https://www.drugbank.ca/structures/DB00213thumb.svg,0.091170356,0.96114415,383.37,C16H15F2N3O4S,86.330002,N/A
90,Torasemide,https://www.drugbank.ca/drugs/DB00214,https://www.drugbank.ca/structures/DB00214thumb.svg,0.54152071,0.76481283,348.42001,C16H20N4O3S,100.19,N/A
91,Citalopram,https://www.drugbank.ca/drugs/DB00215,https://www.drugbank.ca/structures/DB00215thumb.svg,0.40108269,0.74402803,324.39191,C20H21FN2O,36.259998,N/A
92,Eletriptan,https://www.drugbank.ca/drugs/DB00216,https://www.drugbank.ca/structures/DB00216thumb.svg,0.28756785,0.84104252,382.51901,C22H26N2O2S,53.169998,N/A
93,Bethanidine,https://www.drugbank.ca/drugs/DB00217,https://www.drugbank.ca/structures/DB00217thumb.svg,0.27613431,0.89034855,177.2462,C10H15N3,36.419998,N/A
94,Moxifloxacin,https://www.drugbank.ca/drugs/DB00218,https://www.drugbank.ca/structures/DB00218thumb.svg,0.20838547,0.85127622,401.4314,C21H24FN3O4,82.110001,N/A
95,Oxyphenonium,https://www.drugbank.ca/drugs/DB00219,https://www.drugbank.ca/structures/DB00219thumb.svg,0.40790716,0.80086684,348.4996,C21H34NO3,46.529999,N/A
96,Nelfinavir,https://www.drugbank.ca/drugs/DB00220,https://www.drugbank.ca/structures/DB00220thumb.svg,0.44478536,0.76968485,567.78198,C32H45N3O4S,101.9,N/A
97,Isoetharine,https://www.drugbank.ca/drugs/DB00221,https://www.drugbank.ca/structures/DB00221thumb.svg,0.27009475,0.90752405,239.3107,C13H21NO3,72.720001,N/A
98,Diflorasone,https://www.drugbank.ca/drugs/DB00223,https://www.drugbank.ca/structures/DB00223thumb.svg,0.23802696,0.90058601,410.45151,C22H28F2O5,94.830002,N/A
99,Indinavir,https://www.drugbank.ca/drugs/DB00224,https://www.drugbank.ca/structures/DB00224thumb.svg,0.28117022,0.87071455,613.78949,C36H47N5O4,118.03,N/A
100,Guanadrel,https://www.drugbank.ca/drugs/DB00226,https://www.drugbank.ca/structures/DB00226thumb.svg,0.2494742,0.88848132,213.27679,C10H19N3O2,82.860001,N/A
101,Lovastatin,https://www.drugbank.ca/drugs/DB00227,https://www.drugbank.ca/structures/DB00227thumb.svg,0.35165408,0.79439723,404.53961,C24H36O5,72.830002,N/A
102,Enflurane,https://www.drugbank.ca/drugs/DB00228,https://www.drugbank.ca/structures/DB00228thumb.svg,0.33759403,0.86972672,184.492,C3H2ClF5O,9.2299995,N/A
103,Cefotiam,https://www.drugbank.ca/drugs/DB00229,https://www.drugbank.ca/structures/DB00229thumb.svg,0.32171294,0.85866791,525.62799,C18H23N9O4S3,172.46001,N/A
104,Pregabalin,https://www.drugbank.ca/drugs/DB00230,https://www.drugbank.ca/structures/DB00230thumb.svg,0.44363016,0.80154943,159.2261,C8H17NO2,63.32,N/A
105,Temazepam,https://www.drugbank.ca/drugs/DB00231,https://www.drugbank.ca/structures/DB00231thumb.svg,0.56304872,0.61563039,300.73999,C16H13ClN2O2,52.900002,N/A
106,Methyclothiazide,https://www.drugbank.ca/drugs/DB00232,https://www.drugbank.ca/structures/DB00232thumb.svg,0.27358457,0.81507456,360.237,C9H11Cl2N3O4S2,109.57,N/A
107,Aminosalicylic acid,https://www.drugbank.ca/drugs/DB00233,https://www.drugbank.ca/structures/DB00233thumb.svg,0.25774798,0.76306373,153.13541,C7H7NO3,83.550003,N/A
108,Reboxetine,https://www.drugbank.ca/drugs/DB00234,https://www.drugbank.ca/structures/DB00234thumb.svg,0.58408219,0.84292358,313.397,C19H23NO3,39.720001,N/A
109,Milrinone,https://www.drugbank.ca/drugs/DB00235,https://www.drugbank.ca/structures/DB00235thumb.svg,0.24452507,0.84585458,211.21941,C12H9N3O,65.779999,N/A
110,Pipobroman,https://www.drugbank.ca/drugs/DB00236,https://www.drugbank.ca/structures/DB00236thumb.svg,0.043066226,0.96437025,356.05399,C10H16Br2N2O2,40.619999,N/A
111,Butabarbital,https://www.drugbank.ca/drugs/DB00237,https://www.drugbank.ca/structures/DB00237thumb.svg,0.64237797,0.9121815,212.24561,C10H16N2O3,75.269997,N/A
112,Nevirapine,https://www.drugbank.ca/drugs/DB00238,https://www.drugbank.ca/structures/DB00238thumb.svg,0.45660582,0.69909197,266.29791,C15H14N4O,58.119999,N/A
113,Oxiconazole,https://www.drugbank.ca/drugs/DB00239,https://www.drugbank.ca/structures/DB00239thumb.svg,0.20092247,0.91139197,429.12,C18H13Cl4N3O,39.41,N/A
114,Alclometasone,https://www.drugbank.ca/drugs/DB00240,https://www.drugbank.ca/structures/DB00240thumb.svg,0.26362273,0.87919593,408.91599,C22H29ClO5,94.830002,N/A
115,Butalbital,https://www.drugbank.ca/drugs/DB00241,https://www.drugbank.ca/structures/DB00241thumb.svg,0.71976632,0.76368111,224.2563,C11H16N2O3,75.269997,N/A
116,Cladribine,https://www.drugbank.ca/drugs/DB00242,https://www.drugbank.ca/structures/DB00242thumb.svg,0.36345187,0.6847524,285.68701,C10H12ClN5O3,119.31,N/A
117,Ranolazine,https://www.drugbank.ca/drugs/DB00243,https://www.drugbank.ca/structures/DB00243thumb.svg,0.26251248,0.82622701,427.5365,C24H33N3O4,74.269997,N/A
118,Mesalazine,https://www.drugbank.ca/drugs/DB00244,https://www.drugbank.ca/structures/DB00244thumb.svg,0.35011792,0.67277569,153.13541,C7H7NO3,83.550003,N/A
119,Ziprasidone,https://www.drugbank.ca/drugs/DB00246,https://www.drugbank.ca/structures/DB00246thumb.svg,0.11500484,0.90719998,412.936,C21H21ClN4OS,48.470001,N/A
120,Methysergide,https://www.drugbank.ca/drugs/DB00247,https://www.drugbank.ca/structures/DB00247thumb.svg,0.15838756,0.87080616,353.45801,C21H27N3O2,57.5,N/A
121,Cabergoline,https://www.drugbank.ca/drugs/DB00248,https://www.drugbank.ca/structures/DB00248thumb.svg,0.48106098,0.91719085,451.60431,C26H37N5O2,71.68,N/A
122,Idoxuridine,https://www.drugbank.ca/drugs/DB00249,https://www.drugbank.ca/structures/DB00249thumb.svg,0.31029582,0.72965246,354.09851,C9H11IN2O5,99.099998,N/A
123,Dapsone,https://www.drugbank.ca/drugs/DB00250,https://www.drugbank.ca/structures/DB00250thumb.svg,0.28978512,0.91310656,248.30099,C12H12N2O2S,86.18,N/A
124,Terconazole,https://www.drugbank.ca/drugs/DB00251,https://www.drugbank.ca/structures/DB00251thumb.svg,0.16368504,0.90656668,532.46198,C26H31Cl2N5O3,64.879997,N/A
125,Phenytoin,https://www.drugbank.ca/drugs/DB00252,https://www.drugbank.ca/structures/DB00252thumb.svg,0.58953404,0.73182976,252.26801,C15H12N2O2,58.200001,N/A
126,Medrysone,https://www.drugbank.ca/drugs/DB00253,https://www.drugbank.ca/structures/DB00253thumb.svg,0.22637595,0.88302225,344.4877,C22H32O3,54.369999,N/A
127,Diethylstilbestrol,https://www.drugbank.ca/drugs/DB00255,https://www.drugbank.ca/structures/DB00255thumb.svg,0.17148918,0.96973717,268.35599,C18H20O2,40.459999,N/A
128,Clotrimazole,https://www.drugbank.ca/drugs/DB00257,https://www.drugbank.ca/structures/DB00257thumb.svg,0.88653272,0.96218234,344.83701,C22H17ClN2,17.82,N/A
129,Sulfanilamide,https://www.drugbank.ca/drugs/DB00259,https://www.drugbank.ca/structures/DB00259thumb.svg,0.20338076,0.91329509,172.205,C6H8N2O2S,86.18,N/A
130,Cycloserine,https://www.drugbank.ca/drugs/DB00260,https://www.drugbank.ca/structures/DB00260thumb.svg,0.47508571,0.57867545,102.0919,C3H6N2O2,64.349998,N/A
131,Anagrelide,https://www.drugbank.ca/drugs/DB00261,https://www.drugbank.ca/structures/DB00261thumb.svg,0.16346285,0.83896053,256.08801,C10H7Cl2N3O,44.700001,N/A
132,Carmustine,https://www.drugbank.ca/drugs/DB00262,https://www.drugbank.ca/structures/DB00262thumb.svg,0.22800545,0.94387746,214.05,C5H9Cl2N3O2,61.77,N/A
133,Sulfisoxazole,https://www.drugbank.ca/drugs/DB00263,https://www.drugbank.ca/structures/DB00263thumb.svg,0.16862984,0.94484752,267.30399,C11H13N3O3S,98.220001,N/A
134,Metoprolol,https://www.drugbank.ca/drugs/DB00264,https://www.drugbank.ca/structures/DB00264thumb.svg,0.32082611,0.78114349,267.36389,C15H25NO3,50.720001,N/A
135,Crotamiton,https://www.drugbank.ca/drugs/DB00265,https://www.drugbank.ca/structures/DB00265thumb.svg,0.56501645,0.76243073,203.2802,C13H17NO,20.309999,N/A
136,Dicoumarol,https://www.drugbank.ca/drugs/DB00266,https://www.drugbank.ca/structures/DB00266thumb.svg,0.23095149,0.93569928,336.29501,C19H12O6,93.059998,N/A
137,Cefmenoxime,https://www.drugbank.ca/drugs/DB00267,https://www.drugbank.ca/structures/DB00267thumb.svg,0.27420253,0.87120914,511.55801,C16H17N9O5S3,190.81,N/A
138,Ropinirole,https://www.drugbank.ca/drugs/DB00268,https://www.drugbank.ca/structures/DB00268thumb.svg,0.31296223,0.83710772,260.3746,C16H24N2O,32.34,N/A
139,Chlorotrianisene,https://www.drugbank.ca/drugs/DB00269,https://www.drugbank.ca/structures/DB00269thumb.svg,0.33806545,0.76373625,380.86401,C23H21ClO3,27.690001,N/A
140,Isradipine,https://www.drugbank.ca/drugs/DB00270,https://www.drugbank.ca/structures/DB00270thumb.svg,0.5781225,0.81310672,371.38708,C19H21N3O5,103.55,N/A
141,Diatrizoate,https://www.drugbank.ca/drugs/DB00271,https://www.drugbank.ca/structures/DB00271thumb.svg,0.5061217,0.55643928,613.91357,C11H9I3N2O4,95.5,N/A
142,Betazole,https://www.drugbank.ca/drugs/DB00272,https://www.drugbank.ca/structures/DB00272thumb.svg,0.14863278,0.92522281,111.1451,C5H9N3,54.700001,N/A
143,Topiramate,https://www.drugbank.ca/drugs/DB00273,https://www.drugbank.ca/structures/DB00273thumb.svg,0.47704181,0.68543416,339.362,C12H21NO8S,115.54,N/A
144,Cefmetazole,https://www.drugbank.ca/drugs/DB00274,https://www.drugbank.ca/structures/DB00274thumb.svg,0.32015207,0.84530813,471.534,C15H17N7O5S3,163.33,N/A
145,Olmesartan,https://www.drugbank.ca/drugs/DB00275,https://www.drugbank.ca/structures/DB00275thumb.svg,0.32012415,0.93989408,446.50159,C24H26N6O3,129.81,N/A
146,Amsacrine,https://www.drugbank.ca/drugs/DB00276,https://www.drugbank.ca/structures/DB00276thumb.svg,0.27012405,0.91035837,393.45901,C21H19N3O3S,80.32,N/A
147,Theophylline,https://www.drugbank.ca/drugs/DB00277,https://www.drugbank.ca/structures/DB00277thumb.svg,0.43160093,0.57480431,180.164,C7H8N4O2,69.300003,N/A
148,Argatroban,https://www.drugbank.ca/drugs/DB00278,https://www.drugbank.ca/structures/DB00278thumb.svg,0.48618785,0.71436,508.64001,C23H36N6O5S,177.71001,N/A
149,Liothyronine,https://www.drugbank.ca/drugs/DB00279,https://www.drugbank.ca/structures/DB00279thumb.svg,0.74242193,0.93632072,650.97351,C15H12I3NO4,92.779999,N/A
150,Disopyramide,https://www.drugbank.ca/drugs/DB00280,https://www.drugbank.ca/structures/DB00280thumb.svg,0.47464556,0.94020092,339.47449,C21H29N3O,59.220001,N/A
151,Lidocaine,https://www.drugbank.ca/drugs/DB00281,https://www.drugbank.ca/structures/DB00281thumb.svg,0.21424188,0.8588118,234.3373,C14H22N2O,32.34,N/A
152,Pamidronic acid,https://www.drugbank.ca/drugs/DB00282,https://www.drugbank.ca/structures/DB00282thumb.svg,0.65643245,0.67755795,235.0695,C3H11NO7P2,161.31,N/A
153,Clemastine,https://www.drugbank.ca/drugs/DB00283,https://www.drugbank.ca/structures/DB00283thumb.svg,0.41425106,0.72195727,343.89001,C21H26ClNO,12.47,N/A
